0 1 1
1 2 3
2 3 7
3 4 13
4 5 22
5 6 34
6 7 50
7 8 70
8 9 95
9 10 125
10 11 161
11 12 203
12 13 252
13 14 308
14 15 372
15 16 444
16 17 525
17 18 615
18 19 715
19 20 825
20 21 946
21 22 1078
22 23 1222
23 24 1378
24 25 1547
25 26 1729
26 27 1925
27 28 2135
28 29 2360
29 30 2600
30 31 2856
31 32 3128
32 33 3417
33 34 3723
34 35 4047
35 36 4389
36 37 4750
37 38 5130
38 39 5530
39 40 5950
40 41 6391
41 42 6853
42 43 7337
43 44 7843
44 45 8372
45 46 8924
46 47 9500
47 48 10100
48 49 10725
49 50 11375
50 51 12051
51 52 12753
52 53 13482
53 54 14238
54 55 15022
55 56 15834
56 57 16675
57 58 17545
58 59 18445
59 60 19375
60 61 20336
61 62 21328
62 63 22352
63 64 23408
64 65 24497
65 66 25619
66 67 26775
67 68 27965
68 69 29190
69 70 30450
70 71 31746
71 72 -32458
72 73 -31089
73 74 -29683
74 75 -28239
75 74 -26759
76 73 -25242
77 72 -23690
78 71 -22102
79 70 -20480
80 69 -18823
81 68 -17133
82 67 -15409
83 66 -13653
84 65 -11864
85 64 -10044
86 63 -8192
87 62 -6310
88 61 -4397
89 60 -2455
90 59 -483
91 58 1517
92 57 3546
93 56 5602
94 55 7686
95 54 9796
96 53 11933
97 52 14095
98 51 16283
99 50 18495
100 49 20732
101 48 22992
102 47 25276
103 46 27582
104 45 29911
105 44 32261
106 43 -30903
107 42 -28511
108 41 -26098
109 40 -23666
110 39 -21214
111 38 -18744
112 37 -16255
113 36 -13749
114 35 -11225
115 34 -8685
116 33 -6128
117 32 -3556
118 31 -968
119 30 1634
120 29 4251
121 28 6881
122 27 9525
123 26 12181
124 25 14850
125 24 17530
126 23 20222
127 22 22924
128 21 25637
129 20 28359
130 19 31091
131 18 -31705
132 17 -28956
133 16 -26200
134 15 -23436
135 14 -20666
136 13 -17889
137 12 -15107
138 11 -12319
139 10 -9527
140 9 -6730
141 8 -3930
142 7 -1126
143 6 1680
144 5 4489
145 4 7299
146 3 10111
147 2 12923
148 1 15736
149 0 18548
150 -1 21360
151 -2 24170
152 -3 26979
153 -4 29785
154 -5 32589
155 -6 -30147
156 -7 -27350
157 -8 -24558
158 -9 -21770
159 -10 -18988
160 -11 -16211
161 -12 -13441
162 -13 -10677
163 -14 -7921
164 -15 -5172
165 -16 -2432
166 -17 300
167 -18 3022
168 -19 5735
169 -20 8437
170 -21 11129
171 -22 13809
172 -23 16478
173 -24 19134
174 -25 21778
175 -26 24408
176 -27 27025
177 -28 29627
178 -29 32215
179 -30 -30749
180 -31 -28192
181 -32 -25652
182 -33 -23128
183 -34 -20622
184 -35 -18133
185 -36 -15663
186 -37 -13211
187 -38 -10779
188 -39 -8366
189 -40 -5974
190 -41 -3602
191 -42 -1252
192 -43 1077
193 -44 3383
194 -45 5667
195 -46 7927
196 -47 10164
197 -48 12376
198 -49 14564
199 -50 16726
200 -51 18863
201 -52 20973
202 -53 23057
203 -54 25113
204 -55 27142
205 -56 29142
206 -57 31114
207 -58 -32480
208 -59 -30567
209 -60 -28685
210 -61 -26833
211 -62 -25013
212 -63 -23224
213 -64 -21468
214 -65 -19744
215 -66 -18054
216 -67 -16397
217 -68 -14775
218 -69 -13187
219 -70 -11635
220 -71 -10118
221 -72 -8638
222 -73 -7194
223 -74 -5788
224 -75 -4419
225 -74 -3087
226 -73 -1791
227 -72 -531
228 -71 694
229 -70 1884
230 -69 3040
231 -68 4162
232 -67 5251
233 -66 6307
234 -65 7331
235 -64 8323
236 -63 9284
237 -62 10214
238 -61 11114
239 -60 11984
240 -59 12825
241 -58 13637
242 -57 14421
243 -56 15177
244 -55 15906
245 -54 16608
246 -53 17284
247 -52 17934
248 -51 18559
249 -50 19159
250 -49 19735
251 -48 20287
252 -47 20816
253 -46 21322
254 -45 21805
255 -44 22265
256 -43 22702
257 -42 23116
258 -41 23506
259 -40 23872
260 -39 24213
261 -38 24529
262 -37 24819
263 -36 25083
264 -35 25320
265 -34 25530
266 -33 25712
267 -32 25866
268 -31 25991
269 -30 26087
270 -29 26153
271 -28 26189
272 -27 26194
273 -26 26168
274 -25 26110
275 -24 26020
276 -23 25897
277 -22 25741
278 -21 25551
279 -20 25327
280 -19 25068
281 -18 24774
282 -17 24444
283 -16 24078
284 -15 23675
285 -14 23235
286 -13 22757
287 -12 22241
288 -11 21686
289 -10 21092
290 -9 20458
291 -8 19784
292 -7 19069
293 -6 18313
294 -5 17515
295 -4 16675
296 -3 15792
297 -2 14866
298 -1 13896
299 0 12882
300 1 11823
301 2 10719
302 3 9569
303 4 8373
304 5 7130
305 6 5840
306 7 4502
307 8 3116
308 9 1681
309 10 197
310 11 -1337
311 12 -2921
312 13 -4556
313 14 -6242
314 15 -7980
315 16 -9770
316 17 -11613
317 18 -13509
318 19 -15459
319 20 -17463
320 21 -19522
321 22 -21636
322 23 -23806
323 24 -26032
324 25 -28315
325 26 -30655
326 27 32483
327 28 30027
328 29 27512
329 30 24940
330 31 22310
331 32 19624
332 33 16881
333 34 14085
334 35 11235
335 36 8335
336 37 5384
337 38 2386
338 39 -660
339 40 -3750
340 41 -6885
341 42 -10061
342 43 -13279
343 44 -16535
344 45 -19830
345 46 -23160
346 47 -26526
347 48 -29924
348 49 32181
349 50 28721
350 51 25231
351 52 21715
352 53 18172
353 54 14606
354 55 11016
355 56 7406
356 57 3775
357 58 127
358 59 -3539
359 60 -7219
360 61 -10914
361 62 -14620
362 63 -18338
363 64 -22064
364 65 -25799
365 66 -29539
366 67 32251
367 68 28503
368 69 24752
369 70 21002
370 71 17252
371 72 13506
372 73 9763
373 74 6027
374 75 2297
375 74 -1425
376 73 -5140
377 72 -8846
378 71 -12544
379 70 -16232
380 69 -19911
381 68 -23579
382 67 -27237
383 66 -30883
384 65 31018
385 64 27396
386 63 23786
387 62 20190
388 61 16607
389 60 13039
390 59 9485
391 58 5947
392 57 2424
393 56 -1082
394 55 -4572
395 54 -8044
396 53 -11499
397 52 -14935
398 51 -18353
399 50 -21751
400 49 -25130
401 48 -28488
402 47 -31826
403 46 30394
404 45 27099
405 44 23827
406 43 20577
407 42 17351
408 41 14148
409 40 10970
410 39 7816
411 38 4688
412 37 1585
413 36 -1491
414 35 -4541
415 34 -7563
416 33 -10558
417 32 -13524
418 31 -16462
419 30 -19370
420 29 -22249
421 28 -25097
422 27 -27915
423 26 -30701
424 25 32080
425 24 29358
426 23 26668
427 22 24012
428 21 21389
429 20 18801
430 19 16247
431 18 13729
432 17 11246
433 16 8800
434 15 6390
435 14 4018
436 13 1683
437 12 -613
438 11 -2871
439 10 -5089
440 9 -7268
441 8 -9406
442 7 -11504
443 6 -13560
444 5 -15575
445 4 -17547
446 3 -19477
447 2 -21363
448 1 -23206
449 0 -25004
450 -1 -26758
451 -2 -28466
452 -3 -30129
453 -4 -31745
454 -5 32221
455 -6 30699
456 -7 29224
457 -8 27798
458 -9 26420
459 -10 25092
460 -11 23813
461 -12 22585
462 -13 21407
463 -14 20281
464 -15 19206
465 -16 18184
466 -17 17214
467 -18 16298
468 -19 15435
469 -20 14627
470 -21 13873
471 -22 13175
472 -23 12532
473 -24 11946
474 -25 11416
475 -26 10944
476 -27 10529
477 -28 10173
478 -29 9875
479 -30 9635
480 -31 9452
481 -32 9326
482 -33 9256
483 -34 9240
484 -35 9277
485 -36 9365
486 -37 9503
487 -38 9689
488 -39 9922
489 -40 10200
490 -41 10522
491 -42 10886
492 -43 11291
493 -44 11735
494 -45 12217
495 -46 12735
496 -47 13288
497 -48 13874
498 -49 14492
499 -50 15140
500 -51 15817
501 -52 16521
502 -53 17251
503 -54 18005
504 -55 18782
505 -56 19580
506 -57 20398
507 -58 21234
508 -59 22087
509 -60 22955
510 -61 23837
511 -62 24731
512 -63 25637
513 -64 26553
514 -65 27479
515 -66 28413
516 -67 29355
517 -68 30303
518 -69 31257
519 -70 32215
520 -71 -32359
521 -72 -31395
522 -73 -30429
523 -74 -29463
524 -75 -28497
525 -74 -27531
526 -73 -26565
527 -72 -25599
528 -71 -24633
529 -70 -23667
530 -69 -22701
531 -68 -21735
532 -67 -20769
533 -66 -19803
534 -65 -18837
535 -64 -17871
536 -63 -16905
537 -62 -15939
538 -61 -14973
539 -60 -14007
540 -59 -13041
541 -58 -12075
542 -57 -11109
543 -56 -10143
544 -55 -9177
545 -54 -8211
546 -53 -7245
547 -52 -6279
